false,MLS Number,Address,City/Location,State Or Province,Zip,Subdivision,Area,Market Area,Original List Price,Close Price,Close Price Adj,Lot Size,SF,Prc/SF,Price Sq Ft List,Price Sq Ft Sold,Price Sq Ft Adj Sold,Close Date,Maint Fee Amt,Maint Fee Pay Schedule,YB,BR,FB,HB,DOM,CDOM,Latitude,Longitude,Tax Year,Tax Amount,Tax Rate,School District,School Elementary,School Middle,School High,Pool Private,Ownership,Property Type,Property Sub Type
false,67778423,6235 W Willow Bluff Road,Katy,Texas,77449,Brenwood Sec 01,25,Bear Creek South,"$131,000","$119,200","$119,200","4,600","1,429",$83.41,$91.67,$83.41,$83.41,04/09/2021,$440,Annually,1985,3,2,0,5,5,29.861994,-95.691097,2020,"3,475",2.75,13 - Cypress-Fairbanks,MCFEE ELEMENTARY SCHOOL,THORNTON MIDDLE SCHOOL (CY-FAIR),CYPRESS LAKES HIGH SCHOOL,No,,Free Standing,
false,65780868,1740 Shepard St,Hempstead,Texas,77445,HEMPSTEAD BLK,26,Hempstead,"$120,000","$120,000","$120,000","12,500","1,131",$106.10,$106.10,$106.10,$106.10,08/13/2021,,,1992,3,1,1,4,4,30.078677,-96.088528,,,,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,,Free Standing,
false,90220424,2950 Walnut Springs Drive,Katy,Texas,77449,Sundown Glen Sec 01,25,Katy - North,"$120,000","$120,000","$120,000","5,200","1,588",$75.57,$75.57,$75.57,$75.57,05/03/2021,$250,Annually,1984,3,2,0,1,1,29.810601,-95.728644,2020,"4,326",3.06,30 - Katy,STEPHENS ELEMENTARY SCHOOL (KATY),MORTON RANCH JUNIOR HIGH SCHOOL,MORTON RANCH HIGH SCHOOL,No,,Free Standing,
false,67530893,7241 Highway 71,Garwood,Texas,77442,N/A,56,,"$125,000","$120,000","$120,000","292,723","1,845",$65.04,$67.75,$65.04,$65.04,03/11/2021,,,1947,3,1,0,7,7,29.487068,-96.415598,2020,"2,395",1.94,161 - Rice Consolidated,GARWOOD ELEMENTARY SCHOOL,RICE JUNIOR HIGH SCHOOL (RICE CISD),RICE HIGH SCHOOL (RICE CISD),No,,Free Standing,
false,12397639,2005 5th Street,Hempstead,Texas,77445,Hempstead,26,Hempstead,"$150,000","$120,000","$120,000","6,251","2,256",$53.19,$55.41,$53.19,$53.19,06/04/2021,,,1979,5,4,0,86*,261,30.085943,-96.073479,2018,"2,278",2.68,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,Full Ownership,Free Standing,
false,54139121,24406 Wild Horse Lane,Hockley,Texas,77447,Ranch Country Sec 08,35,Hockley,"$114,900","$121,400","$121,400","6,300",987,$123.00,$116.41,$123.00,$123.00,07/28/2021,$380,Annually,1982,3,1,0,3,3,30.018880,-95.806367,2020,"2,887",2.87,55 - Waller,ROBERTS ROAD ELEMENTARY SCHOOL,WALLER JUNIOR HIGH SCHOOL,WALLER HIGH SCHOOL,No,,Free Standing,
false,24873560,24779 Leitrim Street,Hempstead,Texas,77445,Rolling Hills 2,26,Waller,"$136,986","$124,486","$124,486","72,309","1,932",$64.43,$70.90,$64.43,$64.43,11/17/2021,$60,Annually,1981,2,1,1,4,4,30.165295,-96.027296,2021,"3,445",2.08,55 - Waller,H T JONES ELEMENTARY SCHOOL,SCHULTZ JUNIOR HIGH SCHOOL,WALLER HIGH SCHOOL,No,Full Ownership,Free Standing,
false,48096000,25099 Shannon Street,Hempstead,Texas,77445,Rolling Hills 5,26,Waller,"$124,900","$125,000","$122,400","30,492","1,400",$89.29,$89.21,$89.29,$87.43,04/12/2021,$60,Annually,1998,2,2,0,8,8,30.155264,-96.020284,2020,"2,695",2.08,55 - Waller,FIELDS STORE ELEMENTARY SCHOOL,SCHULTZ JUNIOR HIGH SCHOOL,WALLER HIGH SCHOOL,No,,Free Standing,
false,87858835,18135 Dinner Creek Drive,Katy,Texas,77449,Autumn Run Sec 02,25,Bear Creek South,"$140,000","$127,000","$127,000","5,850","1,416",$89.69,$91.81,$89.69,$89.69,01/15/2021,$500,Annually,1984,3,2,0,5,5,29.871259,-95.684818,2020,"3,318",2.71,13 - Cypress-Fairbanks,JOWELL ELEMENTARY SCHOOL,KAHLA MIDDLE SCHOOL,CYPRESS SPRINGS HIGH SCHOOL,No,,Free Standing,
false,75417424,4330 Daisy Meadow Drive,Katy,Texas,77449,Cypress Meadows 03,25,Bear Creek South,"$129,900","$128,500","$128,500","4,725",820,$156.71,$158.41,$156.71,$156.71,04/16/2021,$350,Annually,1983,2,1,0,4,4,29.835336,-95.711851,2020,"3,062",2.88,13 - Cypress-Fairbanks,M ROBINSON ELEMENTARY SCHOOL,THORNTON MIDDLE SCHOOL (CY-FAIR),CYPRESS PARK HIGH SCHOOL,No,,Free Standing,
false,81366967,24829 Shannon Street,Hempstead,Texas,77445,Rolling Hills 5,26,Waller,"$129,900","$129,900","$129,900","41,818","2,242",$57.94,$57.94,$57.94,$57.94,06/15/2021,,,1985,3,2,0,26,26,30.158482,-96.018157,2020,"3,342",2.08,55 - Waller,FIELDS STORE ELEMENTARY SCHOOL,SCHULTZ JUNIOR HIGH SCHOOL,WALLER HIGH SCHOOL,No,,Free Standing,
false,89115203,20531 Burwood Circle,Katy,Texas,77449,Parkway West,25,Katy - North,"$129,500","$129,900","$128,900","4,930","1,160",$111.98,$111.64,$111.98,$111.12,04/09/2021,$350,Annually,1982,3,2,0,,0,29.791024,-95.736923,2020,"2,973",2.49,30 - Katy,FRANZ ELEMENTARY SCHOOL,MORTON RANCH JUNIOR HIGH SCHOOL,MORTON RANCH HIGH SCHOOL,No,,Free Standing,
false,73596632,1845 7th Street,Hempstead,Texas,77445,City of Hempstead,26,Hempstead,"$139,000","$130,000","$130,000","15,625","1,245",$104.42,$111.65,$104.42,$104.42,06/02/2021,,,1963,3,1,0,25,25,30.087391,-96.075718,,,,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,,Free Standing,
false,90116103,517 Dahlia Street,Prairie View,Texas,77446,Prairie Hills 2,26,Waller,"$159,000","$130,000","$130,000","25,038","1,678",$77.47,$94.76,$77.47,$77.47,02/12/2021,,,1977,3,1,1,15,15,30.079437,-95.982447,2020,"2,620",2.86,55 - Waller,H T JONES ELEMENTARY SCHOOL,SCHULTZ JUNIOR HIGH SCHOOL,WALLER HIGH SCHOOL,No,,Free Standing,
false,35228225,24770 Leitrim Street,Hempstead,Texas,77445,Rolling Hills,26,Waller,"$147,500","$132,000","$132,000","13,939",936,$141.03,$149.57,$141.03,$141.03,09/20/2021,$60,Annually,1975,3,1,0,35,35,30.165578,-96.028288,,"1,046",,55 - Waller,H T JONES ELEMENTARY SCHOOL,SCHULTZ JUNIOR HIGH SCHOOL,WALLER HIGH SCHOOL,No,Full Ownership,Free Standing,
false,38148114,3202 Rocky Crest Drive,Katy,Texas,77449,Bridgewater,25,Katy - North,"$134,624","$132,000","$132,000","6,240","1,202",$109.82,$112.00,$109.82,$109.82,01/21/2021,$435,Annually,1983,3,2,0,6,6,29.820165,-95.753127,2020,"4,185",2.95,30 - Katy,GOLBOW ELEMENTARY SCHOOL,MCDONALD JUNIOR HIGH SCHOOL,PAETOW HIGH SCHOOL,No,,Free Standing,
